886 4.473123 -1 
887 6.306104 1.123402 886
888 5.731082 1.089445 886
889 6.279929 1.308859 886
890 6.271295 1.332291 886
891 6.264936 1.322984 886
892 6.686232 1.618724 886
893 5.698307 0.850464 886
894 6.096082 0.982548 886
895 5.692031 1.036799 886
898 4.790743 0.174494 887
899 7.794198 0.289803 888,887
900 7.818952 0.256446 889,887
901 7.724893 0.466190 890,887
902 7.357762 0.296410 891,887
903 6.528130 0.248327 892,887
904 7.292219 0.245642 893,887
905 7.880276 0.249973 894,887
906 7.857457 0.155065 887,895
909 4.625882 0.209912 888
910 8.009669 0.186466 889,888
911 7.140013 0.185558 890,888
912 6.942500 0.596923 891,888
913 7.180473 0.839374 892,888
914 8.459417 3.239350 888,893
915 6.995710 0.196572 888,894
916 8.358562 1.026814 888,895
919 4.736611 0.043299 889
920 7.099907 0.239388 890,889
921 7.250514 0.245873 891,889
922 6.531078 0.436939 889,892
923 7.987034 0.203055 889,893
924 6.586064 0.635845 889,894
925 6.447440 0.245225 889,895
928 4.577368 3.135228 890
929 8.017113 0.241758 890,891
930 6.542572 0.245130 890,892
931 6.621526 0.264697 890,893
932 6.442953 0.251639 890,894
933 7.274334 0.607913 890,895
936 4.404655 0.197884 891
937 8.071815 0.446222 891,892
938 7.680995 0.571623 891,893
939 7.325858 0.191319 891,894
940 7.091880 0.200460 891,895
943 4.829606 0.126619 892
944 6.416907 0.473707 892,893
945 6.438989 0.244077 892,894
946 6.455313 0.244077 892,895
949 4.182629 0.082922 893
950 8.520760 0.195616 893,894
951 6.873953 0.494807 893,895
954 4.393806 0.050807 894
955 7.821255 0.196092 894,895
958 5.005114 0.131362 895
961 2.797800 -1 898
962 6.179650 0.948767 899,961
963 6.134281 0.965917 900,961
964 6.352669 0.837121 901,961
965 6.077393 0.944036 902,961
966 5.702710 0.982622 903,961
967 6.283503 0.738833 961,904
968 6.626951 1.130449 961,905
969 6.595675 1.026181 906,961
972 4.653161 0.082320 909,962
973 7.307077 3.444473 910,962,963
974 7.445154 0.463742 964,911,962
975 6.693718 0.244993 965,962,912
976 7.852450 0.271274 966,913,962
977 8.243523 0.244965 914,967,962
978 7.102352 3.606629 915,968,962
979 7.959396 0.200950 916,969,962
982 3.757451 0.128691 919,963
983 7.044335 0.243595 964,920,963
984 7.422519 0.939545 965,921,963
985 6.401843 0.050437 966,922,963
986 7.511870 0.285239 967,923,963
987 7.237392 0.247585 924,968,963
988 7.956038 0.203211 925,969,963
991 4.288143 0.407091 964,928
992 6.699963 0.243383 964,965,929
993 6.397122 0.245694 964,966,930
994 7.473291 0.246311 964,931,967
995 6.456976 0.195614 964,932,968
996 7.106426 0.246349 964,933,969
999 3.993463 0.250859 965,936
1000 7.422128 0.705695 965,966,937
1001 8.136252 0.244238 938,965,967
1002 6.407021 0.200476 965,939,968
1003 7.087747 0.199130 965,969,940
1006 3.784841 0.133232 966,943
1007 7.348856 0.875486 966,967,944
1008 6.519952 0.203998 966,945,968
1009 7.085322 0.241278 946,966,969
1012 4.394642 0.128853 967,949
1013 7.083672 0.198670 950,967,968
1014 7.300521 0.501270 951,967,969
1017 4.634383 0.135208 968,954
1018 7.265402 0.242644 955,968,969
1021 4.647545 0.082701 958,969
1024 2.665227 -1 972
1025 6.424251 1.022903 1024,973
1026 5.798543 0.036347 1024,974
1027 5.724239 1.337547 1024,975
1028 6.699162 1.028980 1024,976
1029 6.210097 12.326568 977,1024
1030 6.654607 1.020079 1024,978
1031 5.751926 1.013565 1024,979
1034 4.334244 0.331038 1025,982
1035 6.483926 0.244739 1025,983,1026
1036 6.449737 0.536503 1025,1027,984
1037 7.154188 0.491677 1025,1028,985
1038 7.974358 0.595750 1025,986,1029
1039 6.582029 0.298162 1025,1030,987
1040 7.235664 0.080765 1025,988,1031
1043 3.827797 0.153756 1026,991
1044 6.477254 0.489436 1027,1026,992
1045 6.367708 0.250303 1026,1028,993
1046 7.991708 0.277196 994,1026,1029
1047 7.248478 0.203424 995,1030,1026
1048 6.627011 0.196288 1031,996,1026
1051 4.180507 0.293154 1027,999
1052 8.090031 0.246008 1027,1028,1000
1053 7.048026 0.712790 1027,1029,1001
1054 7.226614 0.243912 1027,1030,1002
1055 8.041823 0.244965 1027,1031,1003
1058 3.731663 0.082156 1006,1028
1059 7.044688 0.251838 1007,1029,1028
1060 7.206315 0.243095 1030,1028,1008
1061 8.092796 0.200523 1031,1028,1009
1064 4.590172 0.059725 1029,1012
1065 7.168385 0.409311 1030,1029,1013
1066 6.572784 0.248133 1014,1031,1029
1069 4.241387 10.191999 1030,1017
1070 7.221927 0.243844 1030,1031,1018
1073 3.910623 0.075792 1031,1021
1076 3.129318 -1 1034
1077 5.803885 0.959640 1076,1035
1078 5.644570 1.171763 1076,1036
1079 6.012728 1.353744 1076,1037
1080 6.214301 0.420409 1076,1038
1081 6.675159 1.070057 1076,1039
1082 6.598580 1.036920 1076,1040
1085 3.877922 0.167170 1043,1077
1086 6.229650 0.224627 1077,1078,1044
