205 12.068359 -1 -1
206 17.451931 1.750851 3.342532 205
207 17.461080 1.538463 2.997238 205
208 17.502845 1.393961 0.171950 205
209 17.441874 1.525822 3.029225 205
210 20.337492 1.063194 2.304203 205
211 22.653499 20.273308 13.557304 210,206
212 22.911770 0.568787 1.069409 210,207
213 22.829568 0.687308 13.970136 208,210
214 22.916729 0.681301 1.369936 209,210
215 20.112534 1.022546 2.221511 205
216 22.840742 0.694641 1.385300 215,206
217 23.191974 0.558102 1.303587 215,207
218 23.177656 0.681302 1.101326 208,215
219 23.355961 13.296586 1.371821 209,215
220 20.252146 1.043778 2.176323 205
221 22.803098 0.672711 0.103435 220,206
222 22.900946 0.635415 1.368679 207,220
223 23.498996 0.682139 1.112152 208,220
224 23.139523 0.676622 0.096311 209,220
225 20.159187 1.017936 2.263205 205
226 22.863650 0.686889 1.370635 225,206
227 22.841092 0.093238 12.837800 225,207
228 22.783752 0.682209 1.348285 208,225
229 23.053199 0.681022 1.125491 209,225
230 12.085749 -1 -1 211
231 17.296395 1.633516 3.107237 212,230
232 17.375106 1.514299 2.989485 230,213
233 17.432934 1.501796 14.385341 214,230
234 20.025582 1.052926 2.256919 216,230
235 22.615644 0.576818 1.077301 234,217,231
236 22.587428 0.123758 1.092108 234,218,232
237 22.454869 0.670894 1.116692 234,219,233
238 19.976133 1.030927 2.250565 230,221
239 22.670330 0.687658 1.108799 238,231,222
240 23.089378 0.678647 1.353035 223,238,232
241 22.463390 0.620470 1.116691 224,238,233
242 19.894419 1.014933 0.105530 226,230
243 22.744082 0.635764 1.111034 227,231,242
244 23.198400 0.675155 1.136038 228,232,242
245 23.172698 12.550891 1.372940 242,229,233
246 12.039514 -1 -1 235
247 16.606084 1.637568 3.085377 236,246
248 16.895157 1.519466 2.969021 246,237
249 20.257944 1.053206 2.270190 246,239
250 22.427492 0.602659 13.311811 247,249,240
251 22.365752 0.611181 0.137518 241,249,248
252 20.241810 1.051669 2.204050 246,243
253 22.386704 0.672780 1.114457 252,244,247
254 22.361282 0.624520 1.386768 252,245,248
255 12.012486 -1 -1 250
256 16.333843 1.638266 3.084819 251,255
257 19.300000 1.049924 2.238342 253,255
258 20.995327 0.730889 1.204273 256,257,254
259 11.930562 -1 -1 258
