CPU14 0.545482 46625 spotrf spotrf CPU -1 46665 40
CPU12 1.107914 46626 strsm strsm CUDA0 0.785687 46666 40
CPU17 1.054240 46627 strsm strsm CUDA2 0.752788 46667 40
CPU3 1.117111 46628 strsm strsm CUDA1 0.744471 46668 40
CPU18 1.035178 46629 strsm strsm CUDA3 0.812483 46669 40
CPU1 1.069649 46630 strsm strsm CUDA1 0.072347 46670 40
CPU16 1.084119 46631 strsm strsm CUDA2 0.431697 46671 40
CPU10 1.076279 46632 strsm strsm CUDA2 0.419751 46672 40
CPU13 1.008627 46633 strsm strsm CUDA0 0.407681 46673 40
CPU9 1.038752 46634 strsm strsm CUDA0 0.364683 46674 40
CPU0 1.059475 46635 strsm strsm CUDA2 0.365570 46675 40
CPU2 1.075010 46636 strsm strsm CUDA1 0.085746 46676 40
CPU6 1.056072 46637 strsm strsm CUDA3 0.070541 46677 40
CPU5 1.021194 46638 strsm strsm CUDA3 0.334734 46678 40
CPU15 1.000886 46639 strsm strsm CUDA0 0.358057 46679 40
CPU7 1.089750 46640 strsm strsm CUDA1 0.280295 46680 40
CPU4 1.005484 46641 strsm strsm CUDA0 0.319774 46681 40
CPU19 1.048002 46642 strsm strsm CUDA2 0.386437 46682 40
CPU14 0.967194 46643 strsm strsm CUDA1 0.403050 46683 40
CPU13 0.955554 46644 strsm strsm CUDA3 0.229276 46684 40
CPU14 1.036963 46645 strsm strsm CUDA0 0.386408 46685 40
CPU14 0.979010 46646 strsm strsm CUDA1 0.389419 46686 40
CPU14 1.007429 46647 strsm strsm CUDA2 0.408346 46687 40
CPU14 1.011367 46648 strsm strsm CUDA1 0.378169 46688 40
CPU4 1.018136 46649 strsm strsm CUDA0 0.317887 46689 40
CPU6 1.040424 46650 strsm strsm CUDA2 0.380264 46690 40
CPU9 0.988707 46651 strsm strsm CUDA3 0.384085 46691 40
CPU10 1.065707 46652 strsm strsm CUDA1 0.402131 46692 40
CPU11 1.612015 46653 strsm strsm CUDA2 0.312467 46693 40
CPU13 0.994636 46654 strsm strsm CUDA0 0.392789 46694 40
CPU14 0.998610 46655 strsm strsm CUDA2 0.401715 46695 40
CPU14 1.023159 46656 strsm strsm CUDA3 0.406363 46696 40
CPU8 1.018531 46657 strsm strsm CUDA0 0.316873 46697 40
CPU4 0.990473 46658 strsm strsm CUDA1 0.394535 46698 40
CPU9 0.983838 46659 strsm strsm CUDA0 1.076232 46699 40
CPU12 1.064159 46660 strsm strsm CUDA2 0.388527 46700 40
CPU14 1.000529 46661 strsm strsm CUDA3 0.403412 46701 40
CPU13 1.013221 46662 strsm strsm CUDA2 0.384556 46702 40
CPU14 1.012294 46663 strsm strsm CUDA0 0.233796 46703 40
CPU14 1.020077 46664 strsm strsm CUDA2 12.203851 46704 40
CPU14 1.128636 46665 strsm strsm CUDA1 0.359502 46705 40
CPU14 1.018924 46666 strsm strsm CUDA3 0.404254 46706 40
CPU9 2.050990 46667 strsm strsm CUDA0 0.409290 46707 40
CPU11 1.606078 46668 strsm strsm CUDA2 0.400447 46708 40
CPU8 1.059585 46669 strsm strsm CUDA3 0.189314 46709 40
CPU5 0.964065 46670 strsm strsm CUDA0 0.410726 46710 40
CPU4 0.963792 46671 strsm strsm CUDA2 0.407985 46711 40
CPU8 0.960047 46672 strsm strsm CUDA0 0.373799 46712 40
CPU6 1.004358 46673 strsm strsm CUDA3 0.406125 46713 40
CPU15 0.965707 46674 strsm strsm CUDA1 0.400527 46714 40
CPU12 0.995866 46677 ssyrk ssyrk CUDA0 0.252282 46717 40
CPU12 1.081705 46678 sgemm sgemm CUDA0 0.060297 46718 40
CPU3 1.487027 46679 sgemm sgemm CUDA0 0.434829 46719 40
CPU12 1.117777 46680 sgemm sgemm CUDA0 0.047263 46720 40
CPU12 1.063218 46681 sgemm sgemm CUDA2 0.237385 46721 40
CPU16 1.370774 46682 sgemm sgemm CUDA2 0.091773 46722 40
CPU10 1.373909 46683 sgemm sgemm CUDA2 0.050760 46723 40
CPU12 1.060551 46684 sgemm sgemm CUDA2 0.052238 46724 40
CPU12 1.110247 46685 sgemm sgemm CUDA2 0.051099 46725 40
CPU0 1.491961 46686 sgemm sgemm CUDA2 0.070133 46726 40
CPU2 1.487092 46687 sgemm sgemm CUDA1 0.138314 46727 40
CPU12 1.201101 46688 sgemm sgemm CUDA2 0.045206 46728 40
CPU12 1.059599 46689 sgemm sgemm CUDA3 0.198203 46729 40
CPU12 1.075288 46690 sgemm sgemm CUDA0 0.046795 46730 40
CPU7 1.437904 46691 sgemm sgemm CUDA1 0.054888 46731 40
CPU12 1.033585 46692 sgemm sgemm CUDA0 0.043943 46732 40
CPU17 0.984373 46693 sgemm sgemm CUDA2 0.050050 46733 40
CPU14 1.300110 46694 sgemm sgemm CUDA1 0.047830 46734 40
CPU13 1.063130 46695 sgemm sgemm CUDA3 0.051715 46735 40
CPU14 0.961652 46696 sgemm sgemm CUDA0 0.061891 46736 40
CPU14 0.931174 46697 sgemm sgemm CUDA1 0.105394 46737 40
CPU13 0.949657 46698 sgemm sgemm CUDA2 0.052835 46738 40
CPU17 0.949557 46699 sgemm sgemm CUDA1 0.052622 46739 40
CPU2 1.076860 46700 sgemm sgemm CUDA0 0.048349 46740 40
CPU5 0.948493 46701 sgemm sgemm CUDA2 0.063305 46741 40
CPU8 0.937908 46702 sgemm sgemm CUDA3 0.274533 46742 40
CPU15 0.953928 46703 sgemm sgemm CUDA2 0.382984 46743 40
CPU11 1.696873 46704 sgemm sgemm CUDA2 0.066037 46744 40
CPU13 0.966708 46705 sgemm sgemm CUDA0 0.063456 46745 40
CPU14 1.062313 46706 sgemm sgemm CUDA2 0.047473 46746 40
CPU19 1.071962 46707 sgemm sgemm CUDA3 0.046350 46747 40
CPU2 1.074525 46708 sgemm sgemm CUDA0 0.047668 46748 40
CPU0 1.035820 46709 sgemm sgemm CUDA1 0.076873 46749 40
CPU9 0.964923 46710 sgemm sgemm CUDA2 0.070174 46750 40
CPU12 1.086554 46711 sgemm sgemm CUDA2 0.071588 46751 40
CPU14 1.024713 46712 sgemm sgemm CUDA0 0.220720 46752 40
CPU13 0.972814 46713 sgemm sgemm CUDA2 0.068358 46753 40
CPU14 1.024030 46714 sgemm sgemm CUDA0 0.054393 46754 40
CPU14 1.024614 46715 sgemm sgemm CUDA0 0.051135 46755 40
CPU14 0.991032 46716 sgemm sgemm CUDA1 0.054152 46756 40
CPU14 0.982441 46717 sgemm sgemm CUDA3 0.066127 46757 40
CPU9 0.945922 46718 sgemm sgemm CUDA0 0.055136 46758 40
CPU11 1.701538 46719 sgemm sgemm CUDA0 0.296245 46759 40
CPU10 1.044356 46720 sgemm sgemm CUDA3 0.034857 46760 40
CPU5 1.007028 46721 sgemm sgemm CUDA0 0.097721 46761 40
CPU4 0.998735 46722 sgemm sgemm CUDA2 0.054612 46762 40
CPU8 0.953835 46723 sgemm sgemm CUDA0 0.053072 46763 40
CPU6 1.049398 46724 sgemm sgemm CUDA3 0.050629 46764 40
CPU15 0.971959 46725 sgemm sgemm CUDA1 0.045726 46765 40
CPU17 0.972099 46728 ssyrk ssyrk CUDA2 0.054572 46768 40
CPU3 1.080815 46729 sgemm sgemm CUDA0 0.050601 46769 40
CPU18 1.273962 46730 sgemm sgemm CUDA0 0.049337 46770 40
CPU1 1.318507 46731 sgemm sgemm CUDA2 0.076760 46771 40
CPU16 1.109582 46732 sgemm sgemm CUDA2 0.047019 46772 40
CPU19 1.443715 46733 sgemm sgemm CUDA2 0.050134 46773 40
CPU11 1.830809 46734 sgemm sgemm CUDA2 0.046932 46774 40
CPU9 1.353832 46735 sgemm sgemm CUDA0 0.060888 46775 40
CPU0 1.071626 46736 sgemm sgemm CUDA2 0.047370 46776 40
CPU12 1.137441 46737 sgemm sgemm CUDA1 0.089235 46777 40
CPU13 1.188116 46738 sgemm sgemm CUDA2 0.075831 46778 40
CPU14 1.025770 46739 sgemm sgemm CUDA3 0.284322 46779 40
CPU15 1.139882 46740 sgemm sgemm CUDA0 0.044663 46780 40
CPU16 1.043476 46741 sgemm sgemm CUDA1 0.059186 46781 40
CPU17 1.013822 46742 sgemm sgemm CUDA0 0.064418 46782 40
CPU18 0.966682 46743 sgemm sgemm CUDA2 0.046356 46783 40
CPU19 1.086689 46744 sgemm sgemm CUDA1 0.105959 46784 40
CPU13 0.948222 46745 sgemm sgemm CUDA3 0.055818 46785 40
CPU14 0.948010 46746 sgemm sgemm CUDA0 0.042937 46786 40
CPU14 0.970371 46747 sgemm sgemm CUDA3 0.266707 46787 40
CPU15 0.951162 46748 sgemm sgemm CUDA2 0.085031 46788 40
CPU14 0.958003 46749 sgemm sgemm CUDA1 0.362424 46789 40
CPU0 1.068829 46750 sgemm sgemm CUDA0 0.061735 46790 40
CPU6 1.041320 46751 sgemm sgemm CUDA2 0.048723 46791 40
CPU7 1.040633 46752 sgemm sgemm CUDA3 0.051240 46792 40
CPU10 1.060207 46753 sgemm sgemm CUDA2 0.056327 46793 40
CPU11 1.691613 46754 sgemm sgemm CUDA2 0.095384 46794 40
CPU12 1.071168 46755 sgemm sgemm CUDA0 0.046002 46795 40
CPU0 1.091628 46756 sgemm sgemm CUDA2 0.067243 46796 40
CPU10 1.048121 46757 sgemm sgemm CUDA3 0.047949 46797 40
CPU5 0.946106 46758 sgemm sgemm CUDA0 0.065724 46798 40
CPU1 0.960010 46759 sgemm sgemm CUDA1 0.046559 46799 40
CPU9 0.948914 46760 sgemm sgemm CUDA2 0.047039 46800 40
CPU10 1.061778 46761 sgemm sgemm CUDA2 0.099492 46801 40
CPU14 1.048012 46762 sgemm sgemm CUDA0 0.053102 46802 40
CPU13 0.990129 46763 sgemm sgemm CUDA2 0.094145 46803 40
CPU14 1.025484 46764 sgemm sgemm CUDA0 0.047773 46804 40
CPU12 1.117918 46765 sgemm sgemm CUDA0 0.046953 46805 40
CPU4 1.019590 46766 sgemm sgemm CUDA1 0.050764 46806 40
CPU14 1.012050 46767 sgemm sgemm CUDA3 0.055908 46807 40
CPU4 0.967768 46768 sgemm sgemm CUDA0 0.061452 46808 40
CPU0 1.107547 46769 sgemm sgemm CUDA0 0.042585 46809 40
CPU1 0.978451 46770 sgemm sgemm CUDA3 0.048796 46810 40
CPU5 0.974306 46771 sgemm sgemm CUDA0 0.090987 46811 40
CPU4 0.973695 46772 sgemm sgemm CUDA2 0.050533 46812 40
CPU8 0.985103 46773 sgemm sgemm CUDA0 0.051806 46813 40
CPU6 1.096918 46774 sgemm sgemm CUDA3 0.051883 46814 40
CPU15 0.945420 46775 sgemm sgemm CUDA1 0.048550 46815 40
CPU2 0.732164 46778 ssyrk ssyrk CUDA0 0.051563 46818 40
CPU3 1.056313 46779 sgemm sgemm CUDA0 0.048755 46819 40
CPU4 1.162553 46780 sgemm sgemm CUDA2 0.076683 46820 40
CPU5 1.183024 46781 sgemm sgemm CUDA0 0.050672 46821 40
CPU6 1.259169 46782 sgemm sgemm CUDA0 0.048567 46822 40
CPU7 1.110931 46783 sgemm sgemm CUDA0 0.052257 46823 40
CPU8 1.141398 46784 sgemm sgemm CUDA0 0.051126 46824 40
CPU9 0.968114 46785 sgemm sgemm CUDA2 0.055521 46825 40
CPU10 1.131739 46786 sgemm sgemm CUDA1 0.051829 46826 40
CPU11 1.776911 46787 sgemm sgemm CUDA2 0.052635 46827 40
CPU12 1.079191 46788 sgemm sgemm CUDA3 0.066075 46828 40
CPU13 0.955934 46789 sgemm sgemm CUDA0 0.406257 46829 40
CPU14 0.977346 46790 sgemm sgemm CUDA1 0.056008 46830 40
CPU15 0.978943 46791 sgemm sgemm CUDA0 0.774945 46831 40
CPU16 1.067822 46792 sgemm sgemm CUDA0 0.088235 46832 40
CPU17 0.982952 46793 sgemm sgemm CUDA1 0.052818 46833 40
CPU18 0.982183 46794 sgemm sgemm CUDA3 0.043147 46834 40
CPU14 0.970246 46795 sgemm sgemm CUDA0 0.046938 46835 40
CPU2 1.087164 46796 sgemm sgemm CUDA3 0.041528 46836 40
CPU12 1.062337 46797 sgemm sgemm CUDA0 0.053841 46837 40
CPU18 0.936509 46798 sgemm sgemm CUDA1 0.061214 46838 40
CPU1 0.971113 46799 sgemm sgemm CUDA0 0.046807 46839 40
CPU6 1.039216 46800 sgemm sgemm CUDA0 0.048357 46840 40
CPU9 0.955197 46801 sgemm sgemm CUDA3 0.051759 46841 40
CPU10 1.048885 46802 sgemm sgemm CUDA2 0.059392 46842 40
CPU11 1.734802 46803 sgemm sgemm CUDA0 0.048077 46843 40
CPU12 1.100278 46804 sgemm sgemm CUDA0 0.049530 46844 40
CPU7 1.087412 46805 sgemm sgemm CUDA2 0.092123 46845 40
CPU10 1.060440 46806 sgemm sgemm CUDA3 0.050072 46846 40
CPU6 1.045242 46807 sgemm sgemm CUDA0 0.053028 46847 40
CPU3 1.042449 46808 sgemm sgemm CUDA1 0.058434 46848 40
CPU9 1.004685 46809 sgemm sgemm CUDA0 0.049265 46849 40
CPU19 1.079109 46810 sgemm sgemm CUDA2 0.054529 46850 40
CPU14 1.041407 46811 sgemm sgemm CUDA0 0.050249 46851 40
CPU13 0.998395 46812 sgemm sgemm CUDA2 0.048409 46852 40
CPU14 0.988314 46813 sgemm sgemm CUDA0 0.054081 46853 40
CPU7 1.124664 46814 sgemm sgemm CUDA0 0.051303 46854 40
CPU19 1.045695 46815 sgemm sgemm CUDA1 0.048831 46855 40
CPU12 1.215640 46816 sgemm sgemm CUDA3 0.047013 46856 40
CPU2 1.067385 46817 sgemm sgemm CUDA0 0.052917 46857 40
CPU19 1.055111 46818 sgemm sgemm CUDA0 0.044971 46858 40
CPU0 1.080419 46819 sgemm sgemm CUDA3 0.065036 46859 40
CPU1 1.031417 46820 sgemm sgemm CUDA0 0.048467 46860 40
CPU2 1.075052 46821 sgemm sgemm CUDA2 0.050127 46861 40
CPU3 1.073508 46822 sgemm sgemm CUDA0 0.051817 46862 40
CPU4 1.046166 46823 sgemm sgemm CUDA3 0.048649 46863 40
CPU5 1.047505 46824 sgemm sgemm CUDA1 0.047643 46864 40
CPU6 0.739003 46827 ssyrk ssyrk CUDA0 0.043701 46867 40
CPU7 1.051115 46828 sgemm sgemm CUDA2 0.071235 46868 40
CPU8 0.999938 46829 sgemm sgemm CUDA0 0.047043 46869 40
CPU9 1.001718 46830 sgemm sgemm CUDA0 0.049782 46870 40
CPU10 1.062553 46831 sgemm sgemm CUDA0 0.055493 46871 40
CPU11 1.731347 46832 sgemm sgemm CUDA0 0.053302 46872 40
CPU12 1.148673 46833 sgemm sgemm CUDA2 0.047023 46873 40
CPU13 1.008939 46834 sgemm sgemm CUDA1 0.051442 46874 40
CPU14 0.998759 46835 sgemm sgemm CUDA2 0.047347 46875 40
CPU15 1.010430 46836 sgemm sgemm CUDA3 0.088297 46876 40
CPU16 1.024050 46837 sgemm sgemm CUDA0 0.063231 46877 40
CPU17 0.946404 46838 sgemm sgemm CUDA1 0.051116 46878 40
CPU18 1.018047 46839 sgemm sgemm CUDA0 0.059109 46879 40
CPU19 1.070706 46840 sgemm sgemm CUDA0 0.069211 46880 40
CPU0 1.058638 46841 sgemm sgemm CUDA1 0.054468 46881 40
CPU1 1.015031 46842 sgemm sgemm CUDA3 0.054087 46882 40
CPU5 0.977127 46843 sgemm sgemm CUDA0 0.048620 46883 40
CPU16 1.068893 46844 sgemm sgemm CUDA3 0.043108 46884 40
CPU8 0.963142 46845 sgemm sgemm CUDA0 0.046398 46885 40
CPU15 0.953280 46846 sgemm sgemm CUDA1 0.048342 46886 40
CPU4 0.939126 46847 sgemm sgemm CUDA0 0.051542 46887 40
CPU5 0.935776 46848 sgemm sgemm CUDA0 0.054512 46888 40
CPU9 0.969715 46849 sgemm sgemm CUDA3 0.060234 46889 40
CPU19 1.045955 46850 sgemm sgemm CUDA2 0.096925 46890 40
CPU11 1.754178 46851 sgemm sgemm CUDA0 0.048613 46891 40
CPU13 0.985805 46852 sgemm sgemm CUDA0 0.051427 46892 40
CPU14 1.014801 46853 sgemm sgemm CUDA2 0.055251 46893 40
CPU13 0.985002 46854 sgemm sgemm CUDA3 0.064848 46894 40
CPU8 0.984889 46855 sgemm sgemm CUDA0 0.048184 46895 40
CPU4 0.941387 46856 sgemm sgemm CUDA1 0.080821 46896 40
CPU9 0.988591 46857 sgemm sgemm CUDA0 0.051186 46897 40
CPU11 1.689495 46858 sgemm sgemm CUDA2 0.049643 46898 40
CPU14 2.095575 46859 sgemm sgemm CUDA0 0.052489 46899 40
CPU13 1.002692 46860 sgemm sgemm CUDA2 0.052506 46900 40
CPU3 1.141673 46861 sgemm sgemm CUDA0 0.048510 46901 40
CPU14 0.994575 46862 sgemm sgemm CUDA0 0.047880 46902 40
CPU13 1.000991 46863 sgemm sgemm CUDA1 0.044974 46903 40
CPU14 1.020735 46864 sgemm sgemm CUDA3 0.046341 46904 40
CPU3 1.050761 46865 sgemm sgemm CUDA0 0.053121 46905 40
CPU2 1.126986 46866 sgemm sgemm CUDA0 0.048466 46906 40
CPU3 1.107838 46867 sgemm sgemm CUDA3 0.090970 46907 40
CPU4 0.986836 46868 sgemm sgemm CUDA0 0.048610 46908 40
