CPU2 0.061422 4171 spotrf spotrf CPU -1 4211 40
CPU13 0.121464 4172 strsm strsm CUDA1 0.139471 4212 40
CPU4 0.063263 4173 strsm strsm CUDA2 0.139276 4213 40
CPU19 0.125292 4174 strsm strsm CUDA0 0.140627 4214 40
CPU14 0.108603 4175 strsm strsm CUDA1 0.419900 4215 40
CPU6 0.058921 4176 strsm strsm CUDA2 0.396125 4216 40
CPU12 0.093064 4177 strsm strsm CUDA2 0.098681 4217 40
CPU11 0.110940 4178 strsm strsm CUDA2 0.130079 4218 40
CPU9 0.062432 4179 strsm strsm CUDA1 0.096962 4219 40
CPU3 0.057590 4180 strsm strsm CUDA1 0.059071 4220 40
CPU16 0.061253 4181 strsm strsm CUDA0 0.064705 4221 40
CPU19 0.076326 4182 strsm strsm CUDA3 0.064039 4222 40
CPU18 0.057766 4183 strsm strsm CUDA0 0.215205 4223 40
CPU17 0.057831 4184 strsm strsm CUDA2 0.030844 4224 40
CPU10 0.057224 4185 strsm strsm CUDA3 0.258185 4225 40
CPU15 0.074157 4186 strsm strsm CUDA0 0.104303 4226 40
CPU6 0.052200 4187 strsm strsm CUDA3 0.055437 4227 40
CPU19 0.075740 4188 strsm strsm CUDA3 0.065438 4228 40
CPU3 0.053169 4189 strsm strsm CUDA0 0.064723 4229 40
CPU5 0.058383 4190 strsm strsm CUDA0 0.066078 4230 40
CPU9 0.028968 4193 ssyrk ssyrk CUDA1 0.053099 4233 40
CPU2 0.032226 4194 sgemm sgemm CUDA2 0.054161 4234 40
CPU8 0.036432 4195 sgemm sgemm CUDA0 0.318814 4235 40
CPU18 0.034464 4196 sgemm sgemm CUDA1 0.091220 4236 40
CPU19 0.048283 4197 sgemm sgemm CUDA2 0.087241 4237 40
CPU9 0.032918 4198 sgemm sgemm CUDA2 0.047417 4238 40
CPU4 0.036884 4199 sgemm sgemm CUDA2 0.033573 4239 40
CPU12 0.033766 4200 sgemm sgemm CUDA2 0.070797 4240 40
CPU16 0.032438 4201 sgemm sgemm CUDA0 0.047899 4241 40
CPU6 0.033192 4202 sgemm sgemm CUDA0 0.067667 4242 40
CPU15 0.033000 4203 sgemm sgemm CUDA0 0.059562 4243 40
CPU4 0.031572 4204 sgemm sgemm CUDA0 0.055804 4244 40
CPU16 0.030818 4205 sgemm sgemm CUDA2 0.033349 4245 40
CPU2 0.033021 4206 sgemm sgemm CUDA1 0.040563 4246 40
CPU19 0.044935 4207 sgemm sgemm CUDA1 0.033136 4247 40
CPU14 0.040050 4208 sgemm sgemm CUDA1 0.030602 4248 40
CPU4 0.031835 4209 sgemm sgemm CUDA3 0.061382 4249 40
CPU10 0.036594 4210 sgemm sgemm CUDA0 0.043574 4250 40
CPU5 0.031765 4211 sgemm sgemm CUDA0 0.051587 4251 40
CPU15 0.026998 4214 ssyrk ssyrk CUDA1 0.022245 4254 40
CPU7 0.037917 4215 sgemm sgemm CUDA1 0.134041 4255 40
CPU14 0.028886 4216 sgemm sgemm CUDA1 0.095606 4256 40
CPU9 0.032735 4217 sgemm sgemm CUDA2 0.054633 4257 40
CPU15 0.031981 4218 sgemm sgemm CUDA3 0.038902 4258 40
CPU13 0.046704 4219 sgemm sgemm CUDA2 0.035385 4259 40
CPU18 0.030358 4220 sgemm sgemm CUDA1 0.057721 4260 40
CPU9 0.031489 4221 sgemm sgemm CUDA3 0.047235 4261 40
CPU12 0.030266 4222 sgemm sgemm CUDA1 0.047545 4262 40
CPU19 0.044335 4223 sgemm sgemm CUDA3 0.029377 4263 40
CPU9 0.029912 4224 sgemm sgemm CUDA0 0.042933 4264 40
CPU10 0.030170 4225 sgemm sgemm CUDA2 0.048368 4265 40
CPU7 0.031193 4226 sgemm sgemm CUDA1 0.049718 4266 40
CPU19 0.045923 4227 sgemm sgemm CUDA1 0.028361 4267 40
CPU17 0.033637 4228 sgemm sgemm CUDA1 0.056677 4268 40
CPU18 0.032004 4229 sgemm sgemm CUDA3 0.054667 4269 40
CPU19 0.045047 4230 sgemm sgemm CUDA0 0.030342 4270 40
CPU13 0.031183 4231 sgemm sgemm CUDA0 0.037910 4271 40
CPU16 0.032782 4234 ssyrk ssyrk CUDA3 0.320304 4274 40
CPU0 0.039226 4235 sgemm sgemm CUDA3 0.066209 4275 40
CPU5 0.037447 4236 sgemm sgemm CUDA0 0.035206 4276 40
CPU19 0.044169 4237 sgemm sgemm CUDA3 0.047367 4277 40
CPU10 0.029305 4238 sgemm sgemm CUDA0 0.062007 4278 40
CPU17 0.030290 4239 sgemm sgemm CUDA1 0.074744 4279 40
CPU19 0.044856 4240 sgemm sgemm CUDA3 0.049351 4280 40
CPU10 0.028144 4241 sgemm sgemm CUDA1 0.031726 4281 40
CPU11 0.033646 4242 sgemm sgemm CUDA3 0.032716 4282 40
CPU8 0.034184 4243 sgemm sgemm CUDA0 0.044322 4283 40
CPU19 0.043993 4244 sgemm sgemm CUDA3 0.061369 4284 40
CPU14 0.034699 4245 sgemm sgemm CUDA0 0.084476 4285 40
CPU5 0.034272 4246 sgemm sgemm CUDA3 0.041766 4286 40
CPU3 0.035125 4247 sgemm sgemm CUDA3 0.091208 4287 40
CPU6 0.034740 4248 sgemm sgemm CUDA1 0.220372 4288 40
CPU11 0.031452 4249 sgemm sgemm CUDA1 0.029855 4289 40
CPU8 0.032260 4250 sgemm sgemm CUDA0 0.030966 4290 40
CPU19 0.038788 4253 ssyrk ssyrk CUDA0 0.076832 4293 40
CPU5 0.030825 4254 sgemm sgemm CUDA3 0.060569 4294 40
CPU3 0.030488 4255 sgemm sgemm CUDA3 0.048036 4295 40
CPU1 0.034421 4256 sgemm sgemm CUDA0 0.051698 4296 40
CPU14 0.028995 4257 sgemm sgemm CUDA2 0.044415 4297 40
CPU7 0.034253 4258 sgemm sgemm CUDA3 0.053022 4298 40
CPU2 0.055765 4259 sgemm sgemm CUDA1 0.060682 4299 40
CPU19 0.045638 4260 sgemm sgemm CUDA3 0.051149 4300 40
CPU4 0.037203 4261 sgemm sgemm CUDA1 0.080740 4301 40
CPU7 0.032131 4262 sgemm sgemm CUDA3 0.050292 4302 40
CPU10 0.031194 4263 sgemm sgemm CUDA0 0.057377 4303 40
CPU11 0.032084 4264 sgemm sgemm CUDA3 0.032296 4304 40
CPU7 0.031348 4265 sgemm sgemm CUDA3 0.060353 4305 40
CPU2 0.031841 4266 sgemm sgemm CUDA1 0.044671 4306 40
CPU14 0.031442 4267 sgemm sgemm CUDA1 0.034842 4307 40
CPU6 0.031071 4268 sgemm sgemm CUDA0 0.034604 4308 40
CPU16 0.027455 4271 ssyrk ssyrk CUDA0 0.071301 4311 40
CPU17 0.032691 4272 sgemm sgemm CUDA2 0.131225 4312 40
CPU0 0.033422 4273 sgemm sgemm CUDA0 0.038773 4313 40
CPU4 0.031471 4274 sgemm sgemm CUDA2 0.101665 4314 40
CPU12 0.041658 4275 sgemm sgemm CUDA0 0.055253 4315 40
CPU2 0.031040 4276 sgemm sgemm CUDA2 0.032273 4316 40
CPU19 0.046930 4277 sgemm sgemm CUDA2 0.041947 4317 40
CPU5 0.036404 4278 sgemm sgemm CUDA3 0.095650 4318 40
CPU12 0.029893 4279 sgemm sgemm CUDA3 0.036983 4319 40
CPU13 0.033319 4280 sgemm sgemm CUDA2 0.031465 4320 40
CPU19 0.045156 4281 sgemm sgemm CUDA3 0.048022 4321 40
CPU3 0.033898 4282 sgemm sgemm CUDA1 0.095292 4322 40
CPU15 0.034443 4283 sgemm sgemm CUDA3 0.030094 4323 40
CPU8 0.038017 4284 sgemm sgemm CUDA1 0.030909 4324 40
CPU10 0.032438 4285 sgemm sgemm CUDA2 0.046262 4325 40
CPU2 0.026601 4288 ssyrk ssyrk CUDA3 0.048166 4328 40
CPU14 0.031010 4289 sgemm sgemm CUDA2 0.053445 4329 40
CPU10 0.029744 4290 sgemm sgemm CUDA2 0.031737 4330 40
CPU15 0.028065 4291 sgemm sgemm CUDA3 0.045631 4331 40
CPU16 0.029426 4292 sgemm sgemm CUDA1 0.203964 4332 40
CPU19 0.044984 4293 sgemm sgemm CUDA1 0.066640 4333 40
CPU9 0.034829 4294 sgemm sgemm CUDA3 0.162735 4334 40
CPU18 0.033704 4295 sgemm sgemm CUDA3 0.046354 4335 40
CPU6 0.053487 4296 sgemm sgemm CUDA2 0.031698 4336 40
CPU1 0.037737 4297 sgemm sgemm CUDA1 0.032676 4337 40
CPU11 0.032080 4298 sgemm sgemm CUDA1 0.045784 4338 40
CPU19 0.045436 4299 sgemm sgemm CUDA2 0.030347 4339 40
CPU3 0.032384 4300 sgemm sgemm CUDA1 0.037253 4340 40
CPU14 0.030431 4301 sgemm sgemm CUDA2 0.049660 4341 40
CPU3 0.023791 4304 ssyrk ssyrk CUDA1 0.045639 4344 40
CPU8 0.030975 4305 sgemm sgemm CUDA1 0.057888 4345 40
CPU0 0.033468 4306 sgemm sgemm CUDA1 0.116844 4346 40
CPU11 0.030642 4307 sgemm sgemm CUDA0 0.051503 4347 40
CPU2 0.034141 4308 sgemm sgemm CUDA1 0.030079 4348 40
CPU19 0.046367 4309 sgemm sgemm CUDA1 0.081851 4349 40
CPU9 0.031476 4310 sgemm sgemm CUDA2 0.031116 4350 40
CPU3 0.030880 4311 sgemm sgemm CUDA0 0.044288 4351 40
CPU0 0.029610 4312 sgemm sgemm CUDA1 0.047924 4352 40
CPU18 0.031209 4313 sgemm sgemm CUDA0 0.035155 4353 40
CPU13 0.033452 4314 sgemm sgemm CUDA2 0.031423 4354 40
CPU16 0.031153 4315 sgemm sgemm CUDA0 0.033347 4355 40
CPU17 0.040320 4316 sgemm sgemm CUDA2 0.034026 4356 40
CPU15 0.026274 4319 ssyrk ssyrk CUDA1 0.032430 4359 40
CPU13 0.028376 4320 sgemm sgemm CUDA3 0.031294 4360 40
CPU16 0.028316 4321 sgemm sgemm CUDA2 0.030901 4361 40
CPU0 0.031477 4322 sgemm sgemm CUDA2 0.031756 4362 40
CPU19 0.045846 4323 sgemm sgemm CUDA3 0.047275 4363 40
CPU1 0.043508 4324 sgemm sgemm CUDA3 0.030312 4364 40
CPU12 0.032071 4325 sgemm sgemm CUDA3 0.218621 4365 40
CPU16 0.028897 4326 sgemm sgemm CUDA3 0.072720 4366 40
CPU19 0.044917 4327 sgemm sgemm CUDA0 0.030457 4367 40
CPU13 0.029277 4328 sgemm sgemm CUDA1 0.046430 4368 40
CPU10 0.033018 4329 sgemm sgemm CUDA1 0.029651 4369 40
CPU18 0.029926 4330 sgemm sgemm CUDA0 0.032129 4370 40
CPU11 0.026479 4333 ssyrk ssyrk CUDA3 0.093192 4373 40
CPU10 0.028370 4334 sgemm sgemm CUDA0 0.085563 4374 40
CPU18 0.030379 4335 sgemm sgemm CUDA3 0.051110 4375 40
CPU0 0.032048 4336 sgemm sgemm CUDA3 0.038922 4376 40
CPU14 0.031501 4337 sgemm sgemm CUDA3 0.030039 4377 40
CPU1 0.030419 4338 sgemm sgemm CUDA0 0.043617 4378 40
CPU16 0.031691 4339 sgemm sgemm CUDA1 0.039846 4379 40
CPU4 0.058336 4340 sgemm sgemm CUDA0 0.031717 4380 40
CPU3 0.044176 4341 sgemm sgemm CUDA0 0.225866 4381 40
CPU2 0.035935 4342 sgemm sgemm CUDA0 0.031065 4382 40
CPU1 0.030977 4343 sgemm sgemm CUDA3 0.033717 4383 40
CPU16 0.024060 4346 ssyrk ssyrk CUDA1 0.030592 4386 40
CPU5 0.034089 4347 sgemm sgemm CUDA1 0.140246 4387 40
