205, sgetrf_nopiv, M512x512x4, 1048576,	245, sgetrf_nopiv, M512x512x4, 1048576, 40
206, strsm, M512x512x4_M512x512x4, 2097152,	246, strsm, M512x512x4_M512x512x4, 2097152, 40
207, strsm, M512x512x4_M512x512x4, 2097152,	247, strsm, M512x512x4_M512x512x4, 2097152, 40
208, strsm, M512x512x4_M512x512x4, 2097152,	248, strsm, M512x512x4_M512x512x4, 2097152, 40
209, strsm, M512x512x4_M512x512x4, 2097152,	249, strsm, M512x512x4_M512x512x4, 2097152, 40
210, strsm, M512x512x4_M512x512x4, 2097152,	250, strsm, M512x512x4_M512x512x4, 2097152, 40
211, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,	251, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728, 40
212, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,	252, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728, 40
213, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,	253, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728, 40
214, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,	254, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728, 40
215, strsm, M512x512x4_M512x512x4, 2097152,	255, strsm, M512x512x4_M512x512x4, 2097152, 40
216, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,	256, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728, 40
217, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,	257, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728, 40
218, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,	258, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728, 40
219, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,	259, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728, 40
220, strsm, M512x512x4_M512x512x4, 2097152,	260, strsm, M512x512x4_M512x512x4, 2097152, 40
221, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,	261, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728, 40
222, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,	262, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728, 40
223, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,	263, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728, 40
224, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,	264, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728, 40
225, strsm, M512x512x4_M512x512x4, 2097152,	265, strsm, M512x512x4_M512x512x4, 2097152, 40
226, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,	266, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728, 40
227, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,	267, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728, 40
228, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,	268, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728, 40
229, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,	269, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728, 40
230, sgetrf_nopiv, M512x512x4, 1048576,	270, sgetrf_nopiv, M512x512x4, 1048576, 40
231, strsm, M512x512x4_M512x512x4, 2097152,	271, strsm, M512x512x4_M512x512x4, 2097152, 40
232, strsm, M512x512x4_M512x512x4, 2097152,	272, strsm, M512x512x4_M512x512x4, 2097152, 40
233, strsm, M512x512x4_M512x512x4, 2097152,	273, strsm, M512x512x4_M512x512x4, 2097152, 40
234, strsm, M512x512x4_M512x512x4, 2097152,	274, strsm, M512x512x4_M512x512x4, 2097152, 40
235, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,	275, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728, 40
236, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,	276, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728, 40
237, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,	277, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728, 40
238, strsm, M512x512x4_M512x512x4, 2097152,	278, strsm, M512x512x4_M512x512x4, 2097152, 40
239, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,	279, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728, 40
240, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,	280, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728, 40
241, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,	281, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728, 40
242, strsm, M512x512x4_M512x512x4, 2097152,	282, strsm, M512x512x4_M512x512x4, 2097152, 40
243, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,	283, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728, 40
244, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,	284, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728, 40
245, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,	285, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728, 40
246, sgetrf_nopiv, M512x512x4, 1048576,	286, sgetrf_nopiv, M512x512x4, 1048576, 40
