1044, strsm, M768x768x4_M768x1x4, 2362368,	1084, strsm, M768x768x4_M768x1x4, 2362368, 40
1047, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,	1087, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440, 40
1050, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,	1090, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440, 40
1053, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,	1093, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440, 40
1056, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,	1096, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440, 40
1061, strsm, M768x768x4_M768x1x4, 2362368,	1101, strsm, M768x768x4_M768x1x4, 2362368, 40
1064, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,	1104, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440, 40
1067, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,	1107, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440, 40
1070, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,	1110, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440, 40
1075, strsm, M768x768x4_M768x1x4, 2362368,	1115, strsm, M768x768x4_M768x1x4, 2362368, 40
1078, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,	1118, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440, 40
1081, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,	1121, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440, 40
1086, strsm, M768x768x4_M768x1x4, 2362368,	1126, strsm, M768x768x4_M768x1x4, 2362368, 40
1089, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,	1129, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440, 40
1094, strsm, M768x768x4_M768x1x4, 2362368,	1134, strsm, M768x768x4_M768x1x4, 2362368, 40
1099, strsm, M768x768x4_M768x1x4, 2362368,	1139, strsm, M768x768x4_M768x1x4, 2362368, 40
1102, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,	1142, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440, 40
1106, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,	1146, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440, 40
1110, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,	1150, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440, 40
1114, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,	1154, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440, 40
1120, strsm, M768x768x4_M768x1x4, 2362368,	1160, strsm, M768x768x4_M768x1x4, 2362368, 40
1123, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,	1163, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440, 40
1126, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,	1166, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440, 40
1129, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,	1169, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440, 40
1134, strsm, M768x768x4_M768x1x4, 2362368,	1174, strsm, M768x768x4_M768x1x4, 2362368, 40
1137, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,	1177, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440, 40
1140, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,	1180, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440, 40
1145, strsm, M768x768x4_M768x1x4, 2362368,	1185, strsm, M768x768x4_M768x1x4, 2362368, 40
1148, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,	1188, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440, 40
1153, strsm, M768x768x4_M768x1x4, 2362368,	1193, strsm, M768x768x4_M768x1x4, 2362368, 40
