5650, spotrf, M768x768x4, 2359296,	5690, spotrf, M768x768x4, 2359296, 40
5651, strsm, M768x768x4_M768x768x4, 4718592,	5691, strsm, M768x768x4_M768x768x4, 4718592, 40
5652, strsm, M768x768x4_M768x768x4, 4718592,	5692, strsm, M768x768x4_M768x768x4, 4718592, 40
5653, strsm, M768x768x4_M768x768x4, 4718592,	5693, strsm, M768x768x4_M768x768x4, 4718592, 40
5654, strsm, M768x768x4_M768x768x4, 4718592,	5694, strsm, M768x768x4_M768x768x4, 4718592, 40
5655, strsm, M768x768x4_M768x768x4, 4718592,	5695, strsm, M768x768x4_M768x768x4, 4718592, 40
5656, strsm, M768x768x4_M768x768x4, 4718592,	5696, strsm, M768x768x4_M768x768x4, 4718592, 40
5657, strsm, M768x768x4_M768x768x4, 4718592,	5697, strsm, M768x768x4_M768x768x4, 4718592, 40
5658, strsm, M768x768x4_M768x768x4, 4718592,	5698, strsm, M768x768x4_M768x768x4, 4718592, 40
5659, strsm, M768x768x4_M768x768x4, 4718592,	5699, strsm, M768x768x4_M768x768x4, 4718592, 40
5660, strsm, M768x768x4_M768x768x4, 4718592,	5700, strsm, M768x768x4_M768x768x4, 4718592, 40
5661, strsm, M768x768x4_M768x768x4, 4718592,	5701, strsm, M768x768x4_M768x768x4, 4718592, 40
5662, strsm, M768x768x4_M768x768x4, 4718592,	5702, strsm, M768x768x4_M768x768x4, 4718592, 40
5663, strsm, M768x768x4_M768x768x4, 4718592,	5703, strsm, M768x768x4_M768x768x4, 4718592, 40
5664, strsm, M768x768x4_M768x768x4, 4718592,	5704, strsm, M768x768x4_M768x768x4, 4718592, 40
5665, strsm, M768x768x4_M768x768x4, 4718592,	5705, strsm, M768x768x4_M768x768x4, 4718592, 40
5666, strsm, M768x768x4_M768x768x4, 4718592,	5706, strsm, M768x768x4_M768x768x4, 4718592, 40
5667, strsm, M768x768x4_M768x768x4, 4718592,	5707, strsm, M768x768x4_M768x768x4, 4718592, 40
5668, strsm, M768x768x4_M768x768x4, 4718592,	5708, strsm, M768x768x4_M768x768x4, 4718592, 40
5669, strsm, M768x768x4_M768x768x4, 4718592,	5709, strsm, M768x768x4_M768x768x4, 4718592, 40
5672, ssyrk, M768x768x4_M768x768x4, 4718592,	5712, ssyrk, M768x768x4_M768x768x4, 4718592, 40
5673, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5713, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
