206, spotrf, M512x512x4, 1048576,
207, strsm, M512x512x4_M512x512x4, 2097152,
208, strsm, M512x512x4_M512x512x4, 2097152,
209, strsm, M512x512x4_M512x512x4, 2097152,
210, strsm, M512x512x4_M512x512x4, 2097152,
213, ssyrk, M512x512x4_M512x512x4, 2097152,
214, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
215, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
216, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
219, ssyrk, M512x512x4_M512x512x4, 2097152,
220, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
221, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
224, ssyrk, M512x512x4_M512x512x4, 2097152,
225, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
228, ssyrk, M512x512x4_M512x512x4, 2097152,
231, spotrf, M512x512x4, 1048576,
232, strsm, M512x512x4_M512x512x4, 2097152,
233, strsm, M512x512x4_M512x512x4, 2097152,
234, strsm, M512x512x4_M512x512x4, 2097152,
237, ssyrk, M512x512x4_M512x512x4, 2097152,
238, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
239, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
242, ssyrk, M512x512x4_M512x512x4, 2097152,
243, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
246, ssyrk, M512x512x4_M512x512x4, 2097152,
249, spotrf, M512x512x4, 1048576,
250, strsm, M512x512x4_M512x512x4, 2097152,
251, strsm, M512x512x4_M512x512x4, 2097152,
254, ssyrk, M512x512x4_M512x512x4, 2097152,
255, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
258, ssyrk, M512x512x4_M512x512x4, 2097152,
261, spotrf, M512x512x4, 1048576,
262, strsm, M512x512x4_M512x512x4, 2097152,
265, ssyrk, M512x512x4_M512x512x4, 2097152,
268, spotrf, M512x512x4, 1048576,
