1755, spotrf, M768x768x4, 2359296,
1756, strsm, M768x768x4_M768x768x4, 4718592,
1757, strsm, M768x768x4_M768x768x4, 4718592,
1758, strsm, M768x768x4_M768x768x4, 4718592,
1759, strsm, M768x768x4_M768x768x4, 4718592,
1760, strsm, M768x768x4_M768x768x4, 4718592,
1761, strsm, M768x768x4_M768x768x4, 4718592,
1762, strsm, M768x768x4_M768x768x4, 4718592,
1763, strsm, M768x768x4_M768x768x4, 4718592,
1764, strsm, M768x768x4_M768x768x4, 4718592,
1767, ssyrk, M768x768x4_M768x768x4, 4718592,
1768, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1769, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1770, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1771, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1772, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1773, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1774, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1775, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1778, ssyrk, M768x768x4_M768x768x4, 4718592,
1779, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1780, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1781, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1782, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1783, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1784, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1785, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1788, ssyrk, M768x768x4_M768x768x4, 4718592,
1789, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1790, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1791, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1792, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1793, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1794, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1797, ssyrk, M768x768x4_M768x768x4, 4718592,
1798, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
