57965, sgetrf_nopiv, M768x768x4, 2359296,
57966, strsm, M768x768x4_M768x768x4, 4718592,
57967, strsm, M768x768x4_M768x768x4, 4718592,
57968, strsm, M768x768x4_M768x768x4, 4718592,
57969, strsm, M768x768x4_M768x768x4, 4718592,
57970, strsm, M768x768x4_M768x768x4, 4718592,
57971, strsm, M768x768x4_M768x768x4, 4718592,
57972, strsm, M768x768x4_M768x768x4, 4718592,
57973, strsm, M768x768x4_M768x768x4, 4718592,
57974, strsm, M768x768x4_M768x768x4, 4718592,
57975, strsm, M768x768x4_M768x768x4, 4718592,
57976, strsm, M768x768x4_M768x768x4, 4718592,
57977, strsm, M768x768x4_M768x768x4, 4718592,
57978, strsm, M768x768x4_M768x768x4, 4718592,
57979, strsm, M768x768x4_M768x768x4, 4718592,
57980, strsm, M768x768x4_M768x768x4, 4718592,
57981, strsm, M768x768x4_M768x768x4, 4718592,
57982, strsm, M768x768x4_M768x768x4, 4718592,
57983, strsm, M768x768x4_M768x768x4, 4718592,
57984, strsm, M768x768x4_M768x768x4, 4718592,
57985, strsm, M768x768x4_M768x768x4, 4718592,
57986, strsm, M768x768x4_M768x768x4, 4718592,
57987, strsm, M768x768x4_M768x768x4, 4718592,
57988, strsm, M768x768x4_M768x768x4, 4718592,
57989, strsm, M768x768x4_M768x768x4, 4718592,
57990, strsm, M768x768x4_M768x768x4, 4718592,
57991, strsm, M768x768x4_M768x768x4, 4718592,
57992, strsm, M768x768x4_M768x768x4, 4718592,
57993, strsm, M768x768x4_M768x768x4, 4718592,
57994, strsm, M768x768x4_M768x768x4, 4718592,
57995, strsm, M768x768x4_M768x768x4, 4718592,
57996, strsm, M768x768x4_M768x768x4, 4718592,
57997, strsm, M768x768x4_M768x768x4, 4718592,
57998, strsm, M768x768x4_M768x768x4, 4718592,
57999, strsm, M768x768x4_M768x768x4, 4718592,
58000, strsm, M768x768x4_M768x768x4, 4718592,
58001, strsm, M768x768x4_M768x768x4, 4718592,
58002, strsm, M768x768x4_M768x768x4, 4718592,
58003, strsm, M768x768x4_M768x768x4, 4718592,
58004, strsm, M768x768x4_M768x768x4, 4718592,
58005, strsm, M768x768x4_M768x768x4, 4718592,
58006, strsm, M768x768x4_M768x768x4, 4718592,
58007, strsm, M768x768x4_M768x768x4, 4718592,
58008, strsm, M768x768x4_M768x768x4, 4718592,
58009, strsm, M768x768x4_M768x768x4, 4718592,
58010, strsm, M768x768x4_M768x768x4, 4718592,
58011, strsm, M768x768x4_M768x768x4, 4718592,
58012, strsm, M768x768x4_M768x768x4, 4718592,
58013, strsm, M768x768x4_M768x768x4, 4718592,
58014, strsm, M768x768x4_M768x768x4, 4718592,
58015, strsm, M768x768x4_M768x768x4, 4718592,
58016, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58017, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58018, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58019, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58020, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58021, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58022, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58023, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58024, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58025, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58026, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58027, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58028, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58029, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58030, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58031, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58032, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58033, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58034, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58035, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58036, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58037, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58038, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58039, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58040, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58041, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58042, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58043, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58044, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58045, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58046, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58047, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58048, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58049, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58050, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58051, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58052, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58053, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58054, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58055, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58056, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58057, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58058, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58059, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58060, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58061, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58062, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58063, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58064, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58065, strsm, M768x768x4_M768x768x4, 4718592,
58066, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58067, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58068, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58069, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58070, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58071, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58072, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58073, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58074, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
