2927, slaset, M320x1x4, 1280,
2928, slaset, M320x1x4, 1280,
2929, slaset, M320x1x4, 1280,
2930, slaset, M320x1x4, 1280,
2931, slaset, M320x1x4, 1280,
2932, slaset, M320x1x4, 1280,
2933, slaset, M320x1x4, 1280,
2934, slaset, M320x1x4, 1280,
2935, slaset, M320x1x4, 1280,
2936, slaset, M320x1x4, 1280,
2937, slaset, M320x1x4, 1280,
2938, slaset, M320x1x4, 1280,
2939, slaset, M320x1x4, 1280,
2940, slaset, M320x1x4, 1280,
2941, slaset, M320x1x4, 1280,
2942, slaset, M320x1x4, 1280,
2943, slaset, M320x1x4, 1280,
2944, slaset, M320x1x4, 1280,
2945, slaset, M320x1x4, 1280,
2946, slaset, M320x1x4, 1280,
2947, sasum, M320x320x4_M320x1x4, 410880,
2948, sasum, M320x320x4_M320x1x4, 410880,
2949, sasum, M320x320x4_M320x1x4, 410880,
2950, sasum, M320x320x4_M320x1x4, 410880,
2951, sasum, M320x320x4_M320x1x4, 410880,
2952, sasum, M320x320x4_M320x1x4, 410880,
2953, sasum, M320x320x4_M320x1x4, 410880,
2954, sasum, M320x320x4_M320x1x4, 410880,
2955, sasum, M320x320x4_M320x1x4, 410880,
2956, sasum, M320x320x4_M320x1x4, 410880,
2957, sasum, M320x320x4_M320x1x4, 410880,
2958, sasum, M320x320x4_M320x1x4, 410880,
2959, sasum, M320x320x4_M320x1x4, 410880,
2960, sasum, M320x320x4_M320x1x4, 410880,
2961, sasum, M320x320x4_M320x1x4, 410880,
2962, sasum, M320x320x4_M320x1x4, 410880,
2963, sasum, M320x320x4_M320x1x4, 410880,
2964, sasum, M320x320x4_M320x1x4, 410880,
2965, sasum, M320x320x4_M320x1x4, 410880,
2966, sasum, M320x320x4_M320x1x4, 410880,
2967, slaset, M320x1x4, 1280,
2968, sgeadd, M320x1x4_M320x1x4, 2560,
2969, sgeadd, M320x1x4_M320x1x4, 2560,
2970, sgeadd, M320x1x4_M320x1x4, 2560,
2971, sgeadd, M320x1x4_M320x1x4, 2560,
2972, sgeadd, M320x1x4_M320x1x4, 2560,
2973, sgeadd, M320x1x4_M320x1x4, 2560,
2974, sgeadd, M320x1x4_M320x1x4, 2560,
2975, sgeadd, M320x1x4_M320x1x4, 2560,
2976, sgeadd, M320x1x4_M320x1x4, 2560,
2977, sgeadd, M320x1x4_M320x1x4, 2560,
2978, sgeadd, M320x1x4_M320x1x4, 2560,
2979, sgeadd, M320x1x4_M320x1x4, 2560,
2980, sgeadd, M320x1x4_M320x1x4, 2560,
2981, sgeadd, M320x1x4_M320x1x4, 2560,
2982, sgeadd, M320x1x4_M320x1x4, 2560,
2983, sgeadd, M320x1x4_M320x1x4, 2560,
2984, sgeadd, M320x1x4_M320x1x4, 2560,
2985, sgeadd, M320x1x4_M320x1x4, 2560,
2986, sgeadd, M320x1x4_M320x1x4, 2560,
2987, sgeadd, M320x1x4_M320x1x4, 2560,
2988, slange, M320x1x4_V320x1_M320x1x4, 2880,
2989, slaset, M320x1x4, 1280,
2990, slaset, M320x1x4, 1280,
2991, slaset, M320x1x4, 1280,
2992, slaset, M320x1x4, 1280,
2993, slaset, M320x1x4, 1280,
2994, slaset, M320x1x4, 1280,
2995, slaset, M320x1x4, 1280,
2996, slaset, M320x1x4, 1280,
2997, slaset, M320x1x4, 1280,
2998, slaset, M320x1x4, 1280,
2999, slaset, M320x1x4, 1280,
3000, slaset, M320x1x4, 1280,
3001, slaset, M320x1x4, 1280,
3002, slaset, M320x1x4, 1280,
3003, slaset, M320x1x4, 1280,
3004, slaset, M320x1x4, 1280,
3005, slaset, M320x1x4, 1280,
3006, slaset, M320x1x4, 1280,
3007, slaset, M320x1x4, 1280,
3008, slaset, M320x1x4, 1280,
3009, sasum, M320x320x4_M320x1x4, 410880,
3010, sasum, M320x320x4_M320x1x4, 410880,
3011, sasum, M320x320x4_M320x1x4, 410880,
3012, sasum, M320x320x4_M320x1x4, 410880,
3013, sasum, M320x320x4_M320x1x4, 410880,
3014, sasum, M320x320x4_M320x1x4, 410880,
3015, sasum, M320x320x4_M320x1x4, 410880,
