3854, strsm, M768x768x4_M768x1x4, 2362368,
3857, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
3860, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
3863, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
3866, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
3869, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
3872, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
3875, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
3878, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
3881, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
3886, strsm, M768x768x4_M768x1x4, 2362368,
3889, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
3892, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
3895, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
3898, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
3901, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
3904, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
3907, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
3910, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
3915, strsm, M768x768x4_M768x1x4, 2362368,
3918, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
3921, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
3924, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
3927, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
3930, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
3933, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
3936, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
3941, strsm, M768x768x4_M768x1x4, 2362368,
3944, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
3947, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
3950, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
3953, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
3956, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
3959, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
